3 words (v1),type(v1),3 words with emotion (v2),type(v2),Color/lighting (v2),emotion,centroid
Celebrating on float  ,Action,Jubilant celebration scene,Object,"Bright, vibrant hues",excitement,70
People enjoying party  ,Object,Joyful party moments,Action,Vibrant dynamic hues,excitement,71
Singer performing live  ,Action,Energetic stage performance,Action,Warm radiant glow,excitement,72
Supporting political campaign  ,Object,Jubilant crowd gathering,Object,"Bright, vibrant hues",excitement,73
Colorful balloons flying  ,Object,Vibrant balloon ascent  ,Object,"Bright, uplifting hues",excitement,74
Children smiling joyfully,Facial Expression,Joyful youthful energy,Action,"Vibrant, warm hues",excitement,75
Christmas-themed toddler portraits  ,Facial Expression,Joyful holiday celebration,Action,Warm festive glow,excitement,76
Dancing in sunglasses  ,Action,Joyful dance celebration,Action,Vibrant sunny hues,excitement,77
Singers performing live  ,Action,Energetic stage performance,Action,Vibrant purple illumination,excitement,78
Splashing water fun,Action,Joyful water play,Action,"Bright, sunlit splashes",excitement,79
Racing motorcycles speedily  ,Action,Intense racing action,Action,Vibrant dynamic contrasts,excitement,80
Orca performing jumps  ,Object,Dynamic aquatic performance,Action,Vibrant blue excitement,excitement,81
DJ performing live  ,Action,Energetic club scene,Object,Vibrant neon lights,excitement,82
Friends enjoying outdoors  ,Action,Joyful group celebration  ,Object,"Bright, vibrant hues",excitement,83
Choir performing onstage  ,Action,Energetic group performance,Action,Vibrant blue backdrop,excitement,84
Group singing event  ,Action,Energetic group singing,Action,"Bright, vibrant hues",excitement,85
Cheerleader performing routine  ,Action,Energetic cheerleading performance,Action,"Bright, vibrant ambiance",excitement,86
Performing live music,Action,Energetic stage performance,Action,Vibrant spotlight ambiance,excitement,87
Soccer player running  ,Action,Dynamic soccer action,Action,"Vibrant, energizing hues",excitement,88
Singing on stage  ,Action,Energetic stage performance  ,Action,Vibrant red excitement,excitement,89
Singing on stage,Action,Joyful stage performance,Action,Vibrant colorful illumination,excitement,90
Drag queen performance  ,Action,Vibrant performance attire,Object,"Bright, dynamic contrasts",excitement,91
Pride parade celebration  ,Action,Jubilant street parade,Object,Vibrant sunny ambiance,excitement,92
Soldiers running track  ,Action,Energetic sprinting competition,Action,Vibrant dynamic hues,excitement,93
Baseball game action  ,Action,Intense baseball action,Action,Vibrant sunny ambiance,excitement,94
Mountain biking action  ,Action,Thrilling mountain biking  ,Action,"Vibrant, sunlit landscapes",excitement,95
Guitarists performing live  ,Action,Energetic guitar performance,Action,Vibrant stage illumination,excitement,96
Kicking rugby ball  ,Action,Dynamic kicking action,Action,"Vibrant, contrasting hues",excitement,97
Singer performing live  ,Action,Energetic stage performance,Action,Vibrant blue ambiance,excitement,98
Celebrating Pride Parade,Object,Joyful group celebration,Action,Vibrant sunny ambiance,excitement,99
Dancing in street  ,Action,Joyful street dance,Action,Vibrant daylight hues,excitement,100
Underwater diving activity  ,Action,Thrilling underwater adventure  ,Action,Vibrant blue excitement,excitement,101
Kayak polo competition  ,Action,Intense kayak competition,Action,Warm sunset glow,excitement,102
Man singing passionately  ,Action,Energetic stage performance,Action,"Vibrant, dynamic hues",excitement,103
Children playing seaside  ,Object,Joyful beach play,Action,"Bright, vibrant hues",excitement,104
Singing on float  ,Action,Vibrant performance excitement,Action,"Bright, festive hues",excitement,105
Urban dance performance  ,Action,Dynamic breakdancing moves,Action,Vibrant contrasted scenes,excitement,106
Guitarist performing live  ,Action,Energetic musical performance,Action,Vibrant stage lights,excitement,107
Colorful festival celebration  ,Action,Joyful color splash,Action,Vibrant festive hues,excitement,108
Women performing onstage,Action,Energetic stage performance,Action,Vibrant festive ambiance,excitement,109
Soldiers performing stunts  ,Action,Dynamic acrobatic display,Action,"Vibrant, sunlit ambiance",excitement,110
Singer performing live  ,Action,Energetic stage performance,Action,Vibrant spotlight ambiance,excitement,111
Soccer match playing  ,Action,Dynamic soccer action,Action,"Vibrant, sunlit hues",excitement,112
Animals yawning widely  ,Facial Expression,Fierce animal roar,Object,Dark intense shadows,anger,0
Expressive facial emotions,Facial Expression,Intense facial expressions  ,Facial Expression,"Dark, dramatic contrasts",anger,1
Cats yawning widely  ,Facial Expression,Fierce feline yawns,Object,"Stark, contrasting shadows",anger,2
Intense fire burning  ,Object,Intense fiery blaze,Object,Warm aggressive glow,anger,3
Forest fire blazing  ,Object,Fierce forest fires  ,Object,Intense fiery glow,anger,4
Bullfighting action captured,Action,Intense bull confrontation,Action,"Stark, contrasting hues",anger,5
Dogs playing together  ,Action,Aggressive canine interaction  ,Object,"Dark, ominous tones",anger,6
Boxing match competition  ,Action,Intense boxing match,Action,Stark contrast lighting,anger,7
Protesters on vehicle  ,Action,Intense protest scene,Object,"Dark, overcast mood",anger,8
Protesters holding signs,Action,Protestor-held signs,Object,Stark contrast lighting,anger,9
Nighttime fire emergency  ,Object,Intense fiery destruction,Object,Dark ominous glow,anger,10
Explosive fire display  ,Object,Explosive fiery display,Object,Intense orange glow,anger,11
Dog barking outdoors  ,Object,Aggressive canine posture  ,Object,Harsh sunlight glare,anger,12
Building fire disaster,Object,Fiery building destruction,Object,Dark ominous glow,anger,13
Cars on fire  ,Object,Fiery vehicle destruction,Object,Intense orange blaze,anger,14
Owls opening beaks,Facial Expression,Fierce avian expressions  ,Object,"Dark, intense hues",anger,15
Protesting with signs,Action,Furious group protest  ,Action,"Dark, ominous tones",anger,16
Crocodiles opening mouths  ,Facial Expression,Fierce crocodile roar,Object,"Harsh, glaring sunlight",anger,17
Birds Opening Beaks  ,Facial Expression,Aggressive beak display,Object,Stark contrast lighting,anger,18
Zombie costume portrayal  ,Object,Aggressive zombie portrayal  ,Object,Dark ominous tones,anger,19
Men expressing frustration  ,Facial Expression,Frustrated head-grabbing,Action,"Stark, intense contrast",anger,20
Urban fire scenes,Object,Fiery urban chaos,Object,"Dark, ominous glow",anger,21
Tiger cubs growling  ,Facial Expression,Fierce animal snarl  ,Object,Dark intense hues,anger,22
Firefighting in fields  ,Object,Intense fire control,Object,"Dark, ominous smoke",anger,23
Protesters holding signs,Action,Protestor-held signs,Object,"Stark, contrasting hues",anger,24
Dinosaurs in nature  ,Object,Fierce dinosaur roar,Object,"Intense, fiery glow",anger,25
Buildings on fire,Object,Fiery urban destruction,Object,Dark smoky ambiance,anger,26
Crowded concert moshing,Action,Intense crowd interaction,Object,"Dark, ominous tones",anger,27
Protesting with microphone  ,Action,Fervent protest action,Action,"Stark, shadowed contrasts",anger,28
Animals showing teeth  ,Facial Expression,Aggressive animal expression,Object,Harsh sunlight contrast,anger,29
Burned urban cars,Action,Destructive urban chaos,Object,Ominous orange glow,anger,30
Men performing drama  ,Object,Aggressive interpersonal conflict,Object,"Dark, shadowy ambiance",anger,31
Burning dollar bills  ,Object,Fiery money destruction,Object,"Dark, ominous glow",anger,32
Expressing intense emotion  ,Facial Expression,Aggressive facial expressions  ,Facial Expression,"Stark, contrasting backgrounds",anger,33
Wolves in nature  ,Object,Snarling wolf aggression,Object,"Stark, harsh contrasts",anger,34
Volcanic eruption night  ,Object,Fiery volcanic eruption,Object,Intense red glow,anger,35
Bats showing teeth  ,Facial Expression,Aggressive bat snarl,Object,Dark ominous tones,anger,36
Fist against red  ,Object,Clenched fist,Object,Dark ominous shadows,anger,37
Books burning outdoors  ,Object,Fiery book destruction  ,Object,Intense orange glow,anger,38
Spiders on webs  ,Object,Gruesome spider capture,Object,"Dim, eerie glow",disgust,0
Snakes on ground  ,Object,Slithering reptilian menace  ,Object,"Dull, shadowy tones",disgust,1
Textured decay surfaces  ,Object,Decaying metallic surfaces  ,Object,"Dull, murky tones",disgust,2
Marine life close-up  ,Object,Unsettling marine creatures,Object,"Dim, eerie illumination",disgust,3
Urban waste accumulation  ,Object,Repulsive garbage piles  ,Object,"Dull, murky tones",disgust,4
Graffiti-covered bathroom walls,Object,Graffiti-covered restroom,Object,"Dim, grimy ambiance",disgust,5
Caterpillars on plants  ,Object,Hairy caterpillar presence,Object,Dull natural tones,disgust,6
Flat marine invertebrates,Object,Slimy marine creatures,Object,Dark murky ambiance,disgust,7
Splattered red stains  ,Object,Blood-stained fixtures  ,Object,Harsh white contrast,disgust,8
Bananas with spots  ,Object,Rotting banana skins  ,Object,"Dull, shadowed hues",disgust,9
Accumulated colorful waste  ,Object,Repulsive waste accumulation  ,Object,"Dull, grimy hues",disgust,10
Dirty toilet bowls  ,Object,Filthy restroom conditions  ,Object,"Dim, unclean ambiance",disgust,11
Discarded cigarette butts,Object,Discarded cigarette butts,Object,"Dull, murky tones",disgust,12
Decaying carved pumpkins  ,Object,Decaying pumpkin faces  ,Object,"Dull, shadowy tones",disgust,13
Fungi on wood  ,Object,Moldy fungal growth,Object,"Dull, murky shadows",disgust,14
Indoor construction sites  ,Object,Neglected sanitary facilities  ,Object,"Dull, shadowy ambiance",disgust,15
Hanging meat display  ,Object,Raw meat display  ,Object,"Dim, unsettling hues",disgust,16
Decaying colorful apples  ,Object,Rotting fruit decay,Object,"Dull, murky shadows",disgust,17
Snakes eating frogs,Object,Decaying snake carcasses  ,Object,"Dull, shadowed tones",disgust,18
Decomposing rodent carcasses  ,Object,Decayed animal remains  ,Object,"Dull, muted tones",disgust,19
Infected toenails displayed,Object,Infected toenail condition  ,Object,"Dim, unsettling glow",disgust,20
Cooking tomato sauce  ,Object,Unappetizing food mess  ,Object,"Dull, murky hues",disgust,21
Destroying street objects,Object,Chaotic debris scene,Object,"Dim, unsettling glow",disgust,22
Corroded metallic objects,Object,Decayed mechanical parts,Object,"Dull, murky tones",disgust,23
Discarded urban litter  ,Object,Decayed urban waste,Object,"Dull, grimy hues",disgust,24
Fish heads beach  ,Object,grotesque fish remains,Object,"muted, eerie tones",disgust,25
Discarded beverage bottles  ,Object,Cluttered waste accumulation  ,Object,"Dim, murky tones",disgust,26
Marine life displayed  ,Object,Unsettling marine growths  ,Object,"Dim, eerie illumination",disgust,27
Eating hot dogs,Action,grotesque sausage display,Object,stark monochrome contrast,disgust,28
Worms in soil  ,Object,Squirming worm mass,Object,"Dull, murky shadows",disgust,29
Fried insect food  ,Object,Unsettling insect cuisine,Object,"Harsh, glaring exposure",disgust,30
Throat infection symptoms  ,Object,Unhealthy oral hygiene,Object,"Dim, unsettling glow",disgust,31
Spiders clustering together  ,Object,Swarming insect cluster  ,Object,"Dim, murky ambiance",disgust,32
Spilled white powder  ,Object,Unsettling spilled substance,Object,"Dull, murky shadows",disgust,33
Insects building structures  ,Object,Cluttered insect nests  ,Object,"Dim, murky tones",disgust,34
Creepy doll portraits  ,Object,Creepy haunted dolls  ,Object,Dark ominous shadows,fear,0
Abandoned building interiors  ,Object,Abandoned eerie interiors,Object,Dark ominous shadows,fear,1
Carved glowing pumpkins  ,Object,Menacing pumpkin faces  ,Object,Ominous orange glow,fear,2
Spiders on webs  ,Object,Menacing spider presence  ,Object,Dark ominous shadows,fear,3
Ancient sculpted faces  ,Object,Distorted facial sculptures  ,Object,Dark ominous shadows,fear,4
Zombie makeup worn  ,Object,Gruesome facial expressions  ,Facial Expression,"Dark, ominous shadows",fear,5
Menacing theatrical pose  ,Action,Menacing facial makeup  ,Object,"Dim, ominous lighting",fear,6
Eye-focused artistic expression  ,Facial Expression,Disturbing facial expressions  ,Facial Expression,Dark ominous tones,fear,7
Mud mixed berries  ,Object,"Dark, unsettling remains",Object,"Gloomy, shadowed hues",fear,8
Dinosaur Skull Exhibits,Object,Menacing dinosaur jaws,Object,"Dark, ominous shadows",fear,9
Scary vampire figures,Object,Menacing facial expressions  ,Facial Expression,Dark ominous shadows,fear,10
Elaborate costume display,Object,Menacing costume display  ,Object,"Dim, shadowy ambiance",fear,11
Skulls on display  ,Object,Chilling skeletal remains  ,Object,"Dim, ominous shadows",fear,12
Snakes on display  ,Object,Menacing serpent gaze,Object,"Dark, ominous shadows",fear,13
Miniature fantasy battle,Object,Menacing creature assembly,Object,"Dim, shadowy ambiance",fear,14
Mysterious cave interiors  ,Object,Shadowy cave entrance  ,Object,"Dim, eerie glow",fear,15
Gas mask portraits  ,Object,Menacing gas masks  ,Object,Dark ominous tones,fear,16
Dramatic facial expressions  ,Facial Expression,Intense facial expressions  ,Facial Expression,Dark ominous shadows,fear,17
Futuristic robot heads  ,Object,Menacing robotic mask,Object,Dimly lit ambiance,fear,18
Insects on ground  ,Object,Distorted skeletal figures  ,Object,Dark ominous shadows,fear,19
Bloody costume drama  ,Object,Bloodied costume horror,Object,Dark ominous backdrop,fear,20
Disaster response activity  ,Object,Devastated urban landscape,Object,"Muted, smoky haze",fear,21
Insects on surfaces  ,Object,Creepy-crawly creature,Object,"Stark, shadowy contrast",fear,22
Fly-headed figures,Object,Menacing masked figure,Object,"Stark, shadowy contrasts",fear,23
Scientist holding beaker  ,Action,Menacing masked figure,Object,Harsh shadow contrasts,fear,24
Action-figure posing dramatically,Object,Menacing figure stance,Object,Stark shadow contrast,fear,25
Ghostly figures forested  ,Object,Ghostly forest presence  ,Object,"Dim, eerie glow",fear,26
Various firearms displayed  ,Object,Threatening arsenal display,Object,"Dim, ominous tones",fear,27
Cats showing aggression,Action,Menacing feline expressions  ,Facial Expression,"Dark, ominous shadows",fear,28
Feeding giant plant  ,Action,Menacing plant monster  ,Object,"Dim, eerie glow",fear,29
Dark stone corridors  ,Object,Dark ominous corridors  ,Object,Dimly lit shadows,fear,30
Moon through branches  ,Object,Ominous moonlit nights,Object,"Dark, eerie glow",fear,31
Sharks attacking prey  ,Object,Menacing shark attack,Object,"Dark, ominous waters",fear,32
Theatrical performance dancing,Action,Menacing masked figure,Object,Dark ominous shadows,fear,33
Tunnels in nature  ,Object,Dark foreboding tunnels  ,Object,Gloomy shadowed ambiance,fear,34
Portraits with scars  ,Object,Intense emotional expressions  ,Facial Expression,"Dark, ominous contrasts",fear,35
Scorpions in nature  ,Object,Menacing scorpion posture  ,Object,Dark ominous shadows,fear,36
Mossy forest branches  ,Object,Twisted root formations,Object,"Dark, ominous shadows",fear,37
"Dark, dramatic scenes",Object,Gruesome injury scene,Object,Dark ominous shadows,fear,38
Colorful theatrical mask  ,Object,Creepy masked figure  ,Object,Eerie blue illumination,fear,39
Food-covered facial expressions  ,Facial Expression,grotesque facial expressions  ,Facial Expression,dark unsettling ambiance,fear,40
Horrific mask collection,Object,grotesque horror masks,Object,"harsh, unsettling brightness",fear,41
Glowing skull images  ,Object,Sinister skull imagery  ,Object,Ominous red glow,fear,42
Red face paint  ,Object,Menacing facial paint  ,Object,"Dark, ominous shadows",fear,43
Creature holding lights,Object,Menacing creature display,Object,Dark ominous glow,fear,44
Alligators in water  ,Object,Menacing reptilian gaze,Object,"Dark, ominous shadows",fear,45
Millipedes on ground  ,Object,Creepy-crawly insects,Object,Dimly lit scenes,fear,46
Performing bloody surgery  ,Action,Gruesome bloody scene,Object,Dark ominous shadows,fear,47
Nighttime cemetery scenes,Object,eerie cemetery scenes  ,Object,"dark, ominous shadows",fear,48
Symmetrical abstract patterns,Object,Dark symmetrical patterns,Object,Muted ominous tones,fear,49
Mourning angel statue  ,Object,Mourning angel statues  ,Object,"Dim, overcast ambiance",sadness,0
Babies crying loudly  ,Facial Expression,Tearful infant expressions  ,Facial Expression,"Dim, muted tones",sadness,1
Dogs resting peacefully  ,Object,Melancholic canine expressions  ,Object,"Dim, shadowed hues",sadness,2
Covering own face  ,Action,Concealed facial expressions  ,Facial Expression,Monochrome somber tones,sadness,3
Building destruction scenes,Object,Devastated structural remains,Object,"Muted, bleak tones",sadness,4
Abandoned dilapidated interiors,Object,Decaying interior spaces  ,Object,"Dim, shadowy ambiance",sadness,5
Wild canines resting  ,Object,Weary animal gazes,Object,Muted somber tones,sadness,6
Abandoned indoor spaces  ,Object,Abandoned classroom decay,Object,Monochrome somber tones,sadness,7
Uniform tombstones arranged  ,Object,somber memorial stones  ,Object,"muted, overcast ambiance",sadness,8
Chimpanzees resting peacefully,Object,mournful primate expressions  ,Object,subdued gray tones,sadness,9
Memorial candle displays  ,Object,Tearful memorial tributes,Object,"Dim, somber hues",sadness,10
Polar bears resting  ,Object,Weary animal poses  ,Object,"Muted, somber tones",sadness,11
Cemetery graves aligned  ,Object,Endless memorial rows  ,Object,Somber daylight tones,sadness,12
Lions facing camera  ,Object,Weary lion gazes,Object,Muted somber tones,sadness,13
Autumn leaves scattered  ,Object,Wilted autumn leaves  ,Object,"Muted, somber tones",sadness,14
Decorated memorial graves  ,Object,somber memorial scenes,Object,"muted, overcast ambiance",sadness,15
Ruined historical buildings  ,Object,Abandoned stone ruins,Object,Muted overcast tones,sadness,16
Close-up horse portraits  ,Object,Drooping equine eyes,Object,Muted somber tones,sadness,17
Candles glowing softly  ,Object,Mourning candlelight vigil,Object,Dim warm glow,sadness,18
Ruined stone structures  ,Object,crumbling stone ruins  ,Object,muted gray tones,sadness,19
Ruined stone buildings  ,Object,Decaying stone structures  ,Object,"Muted, somber tones",sadness,20
Cemetery grave markers  ,Object,somber memorial stones  ,Object,muted evening hues,sadness,21
Black-and-white portrait photography,Object,Downcast facial expressions  ,Facial Expression,Monochrome somber tones,sadness,22
Historic cemetery monuments  ,Object,somber cemetery scenes  ,Object,muted gloomy ambiance,sadness,23
Soldiers carrying coffin  ,Object,somber funeral procession,Object,"muted, overcast ambiance",sadness,24
Cemetery graves outdoors  ,Object,somber cemetery scenes  ,Object,muted daylight tones,sadness,25
Children serious expressions  ,Facial Expression,Tearful youthful expressions  ,Action,Muted somber tones,sadness,26
Visiting cemetery graves  ,Object,Mourning cemetery visit,Object,"Dim, shadowed ambiance",sadness,27
Dogs behind fences,Object,Caged canine expressions  ,Object,Muted sorrowful tones,sadness,28
Newborns crying loudly,Action,Tearful newborn cries  ,Facial Expression,"Dim, soft lighting",sadness,29
Cemetery tombstones outdoors  ,Object,toppled gravestones,Object,muted evening light,sadness,30
Fathers comforting babies  ,Action,Tearful infant expressions  ,Action,"Dim, muted tones",sadness,31
Flowers with dew,Object,Wilted white daisies,Object,"Dim, shadowed hues",sadness,32
Cemetery stone structures  ,Object,somber cemetery scenes,Object,muted gray tones,sadness,33
Classical draped sculptures  ,Object,Contemplative stone figures,Object,Muted gray tones,sadness,34
Elderly woman pondering  ,Action,Tearful elderly expressions  ,Action,Dim monochrome tones,sadness,35
Urban graffiti art,Object,abandoned urban graffiti,Object,dimly lit decay,sadness,36
Elephant eye close-up  ,Object,Weary animal expressions  ,Object,"Muted, somber tones",sadness,37
Damaged car accidents  ,Object,Damaged vehicle wreckage  ,Object,"Dull, shadowed hues",sadness,38
Overgrown ancient ruins  ,Object,crumbling stone ruins,Object,muted green shadows,sadness,39
Calico cats sitting  ,Object,melancholic feline expressions  ,Object,muted somber tones,sadness,40
Woman touching fence,Action,Tearful facial expressions  ,Facial Expression,"Dim, shadowy ambiance",sadness,41
Ruined concrete structures  ,Object,crumbling concrete structures  ,Object,"cold, shadowed ambiance",sadness,42
Ancient brick towers  ,Object,crumbling church ruins  ,Object,muted earthy tones,sadness,43
Santa holding child  ,Action,Tearful toddler moments  ,Action,"Dim, warm glow",sadness,44
Memorial candle displays  ,Object,Memorial candle display,Object,"Dim, warm glow",sadness,45
Cemetery tombstone structures  ,Object,somber cemetery scenes,,muted overcast ambiance,sadness,46
